,Unnamed: 0,year,negative,positive,Topic,decade,num_conflicts,avg_hostility,total_fatalities,life_expectancy,democracy_frequency,economy_frequency,equality_frequency,freedom_frequency,justice_frequency,liberty_frequency,num_conflicts_lag1,avg_hostility_lag1,total_fatalities_lag1,num_conflicts_lag5,avg_hostility_lag5,total_fatalities_lag5,num_conflicts_lag10,avg_hostility_lag10,total_fatalities_lag10,log_gdp_percap,log_sentiment
1272,1508,1922-01-01,0.0,0.0,freedom_frequency,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,3.771196483828699e-05
825,905,1922-01-01,0.0,0.0,economy_frequency,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75435265393472,3.08309949324248e-05
527,557,1922-01-01,0.0,0.0,gdp_percap,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75435265393472,8.75435265393472
223,223,1923-01-01,0.0582,0.11885,Freedom,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,0.6925645108409095
1422,1710,1923-01-01,0.0,0.0,justice_frequency,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,5.458624701919375e-05
826,906,1923-01-01,0.0,0.0,economy_frequency,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,3.0343893564516004e-05
975,1107,1923-01-01,0.0,0.0,equality_frequency,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,1.0501355923209174e-05
337,337,1923-01-01,0.061,0.0961,Liberty,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,0.5297278458190062
1273,1509,1923-01-01,0.0,0.0,freedom_frequency,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,3.6988741395853536e-05
1124,1308,1923-01-01,0.0,0.0,democracy_frequency,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,1.4642876245130962e-05
414,414,1923-01-01,0.0626,0.1043,Democracy,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,0.5326702823434526
528,558,1923-01-01,0.0,0.0,gdp_percap,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,8.772354864206807
1571,1911,1923-01-01,0.0,0.0,liberty_frequency,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,2.9965459293586455e-05
677,707,1923-01-01,0.0,0.0,Life_expectancy,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,4.039184151044825
5,5,1923-01-01,0.05095,0.106,Economy,1920,0.0,0.0,0.0,55.78,0.307231597402873,0.0889044147040167,0.1636216169193981,0.1138839935098093,0.1989475127801722,0.213021796205331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772354864206807,0.6425247137488335
415,415,1924-01-01,0.0584,0.10615,Democracy,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,0.6918813797720429
1423,1711,1924-01-01,0.0,0.0,justice_frequency,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,5.3629413180526825e-05
827,907,1924-01-01,0.0,0.0,economy_frequency,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,2.9673334148812317e-05
976,1108,1924-01-01,0.0,0.0,equality_frequency,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,1.0457765598241228e-05
338,338,1924-01-01,0.04955,0.09755,Liberty,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,0.6411799749346918
6,6,1924-01-01,0.0483,0.08945,Economy,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,0.5962176903799712
678,708,1924-01-01,0.0,0.0,Life_expectancy,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,4.048998460455223
1274,1510,1924-01-01,0.0,0.0,freedom_frequency,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,3.684432884303531e-05
1125,1309,1924-01-01,0.0,0.0,democracy_frequency,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,1.3496104273741006e-05
529,559,1924-01-01,0.0,0.0,gdp_percap,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,8.790038717586366
1572,1912,1924-01-01,0.0,0.0,liberty_frequency,1920,0.0,0.0,0.0,56.34,0.2744064144803306,0.0797378369087252,0.158962373477584,0.109670914995548,0.1880478204115312,0.2080535033291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790038717586366,2.9539489335409533e-05
